Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),Estimated time (hours),Module Code,Client Name,Programme Name,Launch Date,Go Live Date,Module Author,Learning Designer,Learning Technologist,Senior LD Reviewer,Module Status,Content Type,Week Number,Phase,LDS Resource,Client Resource,Offshore Location,QA Status,Blocker Status,Media Requirements,Review Batch
,,,,[TEMPLATE] Module Development Template - Instructions,Instructions,,,,,,"This is the Module Development Template for online course creation.

TIMELINE: 17-18 weeks from kickoff to Ready for Launch, plus 10-week buffer to Go Live (26 weeks total)

SETUP INSTRUCTIONS:
1. Duplicate this project for each new module
2. Enter the Launch Date (when module should be ready for students)
3. Update Module Code, Client Name, Programme Name custom fields
4. Assign team members (Learning Designer, Learning Technologist, SME)
5. All dates will automatically calculate from the Launch Date
6. Review and adjust any flexible timing based on client needs

KEY DATES ARE CALCULATED AS:
- Kickoff: Launch Date - 112 days
- Development: 8 weeks of storyboarding + building
- Finalization: 4 weeks of reviews and corrections
- Go Live: Launch Date + 66 days (flexible based on client)

RESOURCE NOTES:
- Learning Designer: Leads storyboarding and works with SME
- Learning Technologist: Builds content in Moodle
- SME/Module Author: Provides subject matter expertise
- Academic Reviewer: Quality assurance reviews
- Senior LD: Oversight and QA support

DEPENDENCIES:
- Each week must complete storyboard before build starts
- Builds cascade (Week N build while Week N+1 storyboarding)
- Reviews are batched (Weeks 1-2 together, Weeks 3-8 together)

TIME TRACKING:
- Track time on all tasks using Asana's native time tracking
- Estimated time provided as baseline
- Adjust estimates based on module complexity",Module Development Template,,,,,,,,,,,,,Planning,,,,,,UK,Not Started,None,None,N/A
,,,,,Initiation & Planning,,,,,,,Module Development Template,,,,,,,,,,,,,,,,,,,,,
,,,,Kick off meeting,Initiation & Planning,,,2025-09-15,2025-09-19,,"Initial project kickoff meetings with client team to align on scope, timeline, and deliverables.

DELIVERABLES:
- Project scope confirmed
- Team introductions complete
- Timeline reviewed and agreed
- Communication channels established
- Next steps clarified

ATTENDEES: Learning Designer + SME + Programme Leader (optional)",Module Development Template,,,MPD Draft,,,,,,,2026-01-05,2026-03-11,,,,Planning,,,,Not Started,None,None,N/A
,,,,Initiation meeting held,Initiation & Planning,Learning Designer,ld@example.com,2025-09-15,2025-09-19,,"Internal team meeting to review project requirements and prepare for client kickoff.

AGENDA:
- Review client brief
- Assign roles
- Prepare kickoff agenda
- Identify potential risks
- Set up project workspace",Module Development Template,Kick off meeting,,,,8,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,Kick off meeting held,Initiation & Planning,Learning Designer,ld@example.com,2025-09-15,2025-09-19,,"Client-facing kickoff meeting to officially launch the module development project.

AGENDA:
- Introductions
- Project scope review
- Timeline walkthrough
- Roles and responsibilities
- Communication protocol
- Q&A

DELIVERABLE: Signed-off kickoff meeting notes",Module Development Template,Kick off meeting,,,,8,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,Module Planning Document,Initiation & Planning,,,2025-09-22,2025-10-03,,"Develop comprehensive Module Planning Document (MPD) that defines learning outcomes, assessment strategy, week-by-week content outline, and resource requirements.

This is the foundational document for the entire module development process.",Module Development Template,,Kick off meeting,Week 1 - Storyboarding,,,,,,,2026-01-05,2026-03-11,,,,Planning,,,,Not Started,None,None,N/A
,,,,MPD Draft,Initiation & Planning,Learning Designer,ld@example.com,2025-09-22,2025-09-26,,"Create initial draft of Module Planning Document.

CONTENT:
- Module overview and rationale
- Learning outcomes (aligned with programme outcomes)
- Assessment strategy (types, weights, timing)
- Week-by-week content outline
- Resource requirements (readings, videos, activities)
- Delivery approach (blended/online)

COLLABORATION: Work closely with SME to ensure academic rigor and accuracy.",Module Development Template,Module Planning Document,,,,40,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,MPD Finalised,Initiation & Planning,Learning Designer,ld@example.com,2025-09-29,2025-10-03,,"Finalize Module Planning Document based on SME feedback and internal review.

UPDATES:
- Incorporate SME content expertise
- Refine learning activities
- Confirm assessment alignment
- Validate week-by-week structure
- Prepare for academic review

DELIVERABLE: Final MPD ready for Academic Reviewer",Module Development Template,Module Planning Document,MPD Draft,Week 1 - Storyboarding,,40,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,Assessment briefs drafted and passed to Programme Leader,Initiation & Planning,Learning Designer,ld@example.com,2025-09-29,2025-10-03,,"Draft detailed assessment briefs for all module assessments.

CONTENT FOR EACH ASSESSMENT:
- Learning outcomes addressed
- Assessment task description
- Marking criteria/rubric
- Word count/time limit
- Submission requirements
- Academic integrity guidelines

REVIEW: Programme Leader reviews for programme-level alignment and consistency.",Module Development Template,Module Planning Document,MPD Draft,,,24,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,"SME, Programme Leader",UK,Not Started,None,None,N/A
,,,,Reading list revised (if required),Initiation & Planning,Learning Designer,ld@example.com,2025-09-29,2025-10-03,,"Review and update module reading list with Librarian support.

ACTIVITIES:
- Identify core and recommended readings
- Check library access/availability
- Ensure currency of sources (prefer last 5 years)
- Balance academic rigor with accessibility
- Format per institutional guidelines

COLLABORATION: Librarian checks access and suggests alternatives where needed.",Module Development Template,Module Planning Document,MPD Draft,,,16,,,,,2026-01-05,2026-03-11,,,,Planning,Learning Designer,"SME, Librarian",UK,Not Started,None,None,N/A
,,,,MPD review,Initiation & Planning,Academic Reviewer,reviewer@example.com,2025-10-06,2025-10-11,,"Academic quality assurance review of finalized Module Planning Document.

REVIEW CRITERIA:
- Learning outcomes appropriate for level
- Assessment strategy valid and reliable
- Content coverage sufficient and accurate
- Academic standards maintained
- Programme alignment confirmed

DELIVERABLE: Review feedback document with approval or required changes",Module Development Template,,MPD Finalised,Week 1 - Storyboarding,,16,,,,,2026-01-05,2026-03-11,,,,Planning,,Academic Reviewer,UK,Not Started,None,None,N/A
,,,,,Week 1,,,,,,,Module Development Template,,,,,,,,,,,,,,,,,,,,,
,,,,Week 1 - Storyboarding,Week 1,,,2025-10-06,2025-10-17,,"Develop detailed storyboard for Week 1 content. Week 1 gets extended time (10 days vs 5 days for other weeks) to establish patterns and allow LD-SME relationship building.

DELIVERABLES:
- Complete week structure with navigation
- All learning activities specified
- Assessment integration defined
- Media/resource requirements listed
- SME scripts for any narrated content
- Build notes for Learning Technologist",Module Development Template,,"MPD review, MPD Finalised",Week 1 - Build,,,,,,,2026-01-05,2026-03-11,,,,1,Development,,,,Not Started,None,None,N/A
,,,,Week 1 - Storyboard Initial LD Draft,Week 1,Learning Designer,ld@example.com,2025-10-06,2025-10-10,,"Learning Designer creates initial storyboard structure for Week 1.

CONTENT:
- Page/screen layout and navigation
- Learning activity design (forums, quizzes, reflections)
- Multimedia placeholders with specifications
- Interaction patterns and engagement strategies
- Assessment touchpoints
- Accessibility considerations

This establishes the pedagogical structure that SME will populate with content.",Module Development Template,Week 1 - Storyboarding,,,Week 1 - Edit,40,,,,,2026-01-05,2026-03-11,,,,1,Development,Learning Designer,,UK,Not Started,None,None,N/A
,,,,Week 1 - Storyboard SME Scripts Draft,Week 1,SME,sme@example.com,2025-10-06,2025-10-10,,"SME develops subject matter content and scripts for Week 1.

CONTENT:
- Topic explanations and theory
- Real-world examples and case studies
- Discussion prompts and questions
- Scripts for video/audio narration
- Additional resources and references
- Subject matter accuracy review

Works in parallel with LD's structural design.",Module Development Template,Week 1 - Storyboarding,,,Week 1 - Edit,40,,,,,2026-01-05,2026-03-11,,,,1,Development,,SME,UK,Not Started,None,None,N/A
,,,,Week 1 - Edit,Week 1,Learning Designer,ld@example.com,2025-10-13,2025-10-15,,"Integrate LD structure with SME content and refine the storyboard.

ACTIVITIES:
- Merge pedagogical design with content
- Adjust activities based on content depth
- Refine scripts for clarity and engagement
- Resolve any content-structure conflicts
- Confirm all elements align with learning outcomes
- Prepare for final review

COLLABORATION: LD and SME work closely together to optimize learning experience.",Module Development Template,Week 1 - Storyboarding,"Week 1 - Storyboard Initial LD Draft, Week 1 - Storyboard SME Scripts Draft",Week 1 - Storyboard Final draft agreed,,24,,,,,2026-01-05,2026-03-11,,,,1,Development,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,Week 1 - Storyboard Final draft agreed,Week 1,Learning Designer,ld@example.com,2025-10-16,2025-10-17,,"Final sign-off on Week 1 storyboard before handoff to Learning Technologist.

CHECKLIST:
- All content complete and accurate
- Learning activities fully specified
- Media requirements clearly documented
- Assessment integration confirmed
- Navigation and structure finalized
- Build notes prepared for LT

DELIVERABLE: Approved storyboard ready for Moodle build",Module Development Template,Week 1 - Storyboarding,Week 1 - Edit,Week 1 - Build,,8,,,,,2026-01-05,2026-03-11,,,,1,Development,Learning Designer,SME,UK,Not Started,None,None,N/A
,,,,Week 1 - Build,Week 1,Learning Technologist,lt@example.com,2025-10-20,2025-10-25,,"Build Week 1 content in Moodle LMS based on approved storyboard.

TASKS:
- Create all pages with correct navigation
- Configure activities (forums, quizzes, assignments)
- Embed media (videos, images, audio)
- Upload resources (PDFs, documents)
- Set up conditional access if needed
- Apply branding and styling
- Run basic accessibility checks (alt text, headings)

DELIVERABLE: Week 1 built and ready for LD/SME review before going live",Module Development Template,,Week 1 - Storyboard Final draft agreed,Week 1 and 2 review,,40,,,,,2026-01-05,2026-03-11,,,,1,Build,,Learning Technologist,UK,Not Started,None,Standard,N/A
,,,,,Week 2,,,,,,,Module Development Template,,,,,,,,,,,,,,,,,,,,,
,,,,Week 2 - Storyboarding,Week 2,,,2025-10-20,2025-10-24,,"Develop detailed storyboard for Week 2 content following the pattern established in Week 1.

Weeks 2-8 follow standard 5-day storyboarding timeline (vs Week 1's extended 10 days).",Module Development Template,,Week 1 - Build,Week 2 - Build,,,,,,,2026-01-05,2026-03-11,,,,2,Development,,,,Not Started,None,None,N/A
,,,,Week 2 - Storyboard Initial LD Draft,Week 2,Learning Designer,ld@example.com,2025-10-20,2025-10-21,,"Learning Designer creates initial storyboard structure for Week 2 following Week 1 pattern.",Module Development Template,Week 2 - Storyboarding,,,Week 2 - Edit,16,,,,,2026-01-05,2026-03-11,,,,2,Development,Learning Designer,,UK,Not Started,None,None,N/A
,,,,Week 2 - Storyboard SME Scripts Draft,Week 2,SME,sme@example.com,2025-10-20,2025-10-21,,"SME develops subject matter content and scripts for Week 2 (parallel with LD draft).",Module Development Template,Week 2 - Storyboarding,,,Week 2 - Edit,16,,,,,2026-01-05,2026-03-11,,,,2,Development,,SME,UK,Not Started,None,None,N/A
